Gene,Rule
FKH2,(SWI5) and (SWI6) and (not NDD1) and (CLN3) and (ACE2) and (not MCM1) and (not MBP1) and (not FKH2) and (not SWI4)
ACE2,(SWI5) and (SWI6) and (NDD1) and (not CLN3) and (ACE2) and (not MCM1) and (not MBP1) and (FKH2) and (not SWI4)
SWI5,(SWI6) or (NDD1) or (SWI5) or (CLN3) or (ACE2) or (MCM1) or (MBP1) or (FKH2) or (SWI4)
MCM1,(CLN3) and (SWI6)
CLN3,(SWI5) and (SWI6) and (not NDD1) and (CLN3) and (ACE2) and (not MCM1) and (not MBP1) and (not FKH2) and (not SWI4)
MBP1,(SWI5) and (SWI6) and (NDD1) and (CLN3) and (ACE2) and (MCM1) and (MBP1) and (FKH2) and (SWI4)
SWI4,(SWI4)
SWI6,(NDD1) and (not CLN3) and (SWI5) and (SWI6) and (ACE2) and (not MCM1) and (not MBP1) and (FKH2) and (not SWI4)
NDD1,(not CLN3) and (SWI5) and (SWI6) and (NDD1) and (ACE2) and (not MCM1) and (not MBP1) and (FKH2) and (not SWI4)
