,k-means,BASC_A,onestep,shmulevich,range
0,0.002,0.0145,0.0037,0.0419,0.1
1,0.0032,0.0306,0.0094,0.0878,0.2
2,0.005399999999999999,0.036899999999999995,0.0186,0.1296,0.3
3,0.0076,0.058,0.027999999999999997,0.18600000000000003,0.4
4,0.009000000000000001,0.066,0.0245,0.2275,0.5
5,0.009600000000000001,0.0774,0.036,0.2634,0.6
6,0.0147,0.09309999999999999,0.030099999999999995,0.31429999999999997,0.7
7,0.012,0.104,0.0392,0.3448,0.8
8,0.022500000000000003,0.1035,0.045,0.4185,0.9
9,0.013000000000000003,0.11000000000000001,0.046,0.42500000000000004,1.0
